APV        ,RR Number,PO Number,PO Date   ,Receipt Dt,Reference Document            ,BP Code / Received From         ,Item Code / Description      ,Quantity      ,Price       ,Receipt Amount,Cur,RR Rate ,Amount in PHP ,Reference Num  ,User     ,Item Type,Due Days,Due Date
0,4G0212746,P11001795,10/15/2025,10/15/2025,DR#241993                     ,292000165 WELL-PACK CONTAINER CO,6108020049 CARTON HOOD GENERI,"14,600.00",25,"365,000.00",PHP,58.219,"365,000.00",               ,bpanagui ,Product,30,11/14/2025
0,4G0212746,P11001795,10/15/2025,10/15/2025,DR#241993                     ,292000165 WELL-PACK CONTAINER CO,6108020048 CARTON TRAY       ,"14,600.00",75,"1,095,000.00",PHP,58.219,"1,095,000.00",               ,bpanagui ,Product,30,11/14/2025
0,4G0212973,P11001795,10/15/2025,10/17/2025,DR#242331                     ,292000165 WELL-PACK CONTAINER CO,6108020049 CARTON HOOD GENERI,"15,200.00",25,"380,000.00",PHP,58.085,"380,000.00",               ,bpanagui ,Product,30,11/16/2025
0,4G0212973,P11001795,10/15/2025,10/17/2025,DR#242331                     ,292000165 WELL-PACK CONTAINER CO,6108020048 CARTON TRAY       ,"15,200.00",75,"1,140,000.00",PHP,58.085,"1,140,000.00",               ,bpanagui ,Product,30,11/16/2025
0,4G0212981,P11001795,10/15/2025,10/17/2025,DR#242332                     ,292000165 WELL-PACK CONTAINER CO,6108020049 CARTON HOOD GENERI,"14,950.00",25,"373,750.00",PHP,58.085,"373,750.00",               ,bpanagui ,Product,30,11/16/2025
0,4G0212981,P11001795,10/15/2025,10/17/2025,DR#242332                     ,292000165 WELL-PACK CONTAINER CO,6108020048 CARTON TRAY       ,"14,950.00",75,"1,121,250.00",PHP,58.085,"1,121,250.00",               ,bpanagui ,Product,30,11/16/2025
0,4G0213681,P11001795,10/15/2025,10/22/2025,DR#241488                     ,292000165 WELL-PACK CONTAINER CO,6108020049 CARTON HOOD GENERI,"13,100.00",25,"327,500.00",PHP,58.177,"327,500.00",               ,dloreno  ,Product,30,11/21/2025
0,4G0213681,P11001795,10/15/2025,10/22/2025,DR#241488                     ,292000165 WELL-PACK CONTAINER CO,6108020048 CARTON TRAY       ,"13,100.00",75,"982,500.00",PHP,58.177,"982,500.00",               ,dloreno  ,Product,30,11/21/2025
0,4G0214367,P11001795,10/15/2025,10/25/2025,DR#241486                     ,292000165 WELL-PACK CONTAINER CO,6108020049 CARTON HOOD GENERI,"15,150.00",25,"378,750.00",PHP,58.608,"378,750.00",               ,dloreno  ,Product,30,11/24/2025
0,4G0214367,P11001795,10/15/2025,10/25/2025,DR#241486                     ,292000165 WELL-PACK CONTAINER CO,6108020048 CARTON TRAY       ,"15,150.00",75,"1,136,250.00",PHP,58.608,"1,136,250.00",               ,dloreno  ,Product,30,11/24/2025
0,4G0218869,P11001795,10/15/2025,11/19/2025,DR#242928                     ,292000165 WELL-PACK CONTAINER CO,6108020049 CARTON HOOD GENERI,"12,850.00",25,"321,250.00",PHP,58.975,"321,250.00",               ,bpanagui ,Product,30,12/19/2025
0,4G0218869,P11001795,10/15/2025,11/19/2025,DR#242928                     ,292000165 WELL-PACK CONTAINER CO,6108020048 CARTON TRAY       ,"13,580.00",75,"1,018,500.00",PHP,58.975,"1,018,500.00",               ,bpanagui ,Product,30,12/19/2025
0,4G0227088,P11001795,10/15/2025,1/13/2026,DR#242928                     ,292000165 WELL-PACK CONTAINER CO,6108020049 CARTON HOOD GENERI,730,25,"18,250.00",PHP,59.241,"18,250.00",               ,bpanagui ,Product,30,2/12/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",84,140,"11,760.00",PHP,59.531,"11,760.00",               ,cws      ,Cost,30,4/12/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",120,140,"16,800.00",PHP,59.531,"16,800.00",               ,cws      ,Cost,30,4/12/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",108,160,"17,280.00",PHP,59.531,"17,280.00",               ,cws      ,Cost,30,4/12/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",156,160,"24,960.00",PHP,59.531,"24,960.00",               ,cws      ,Cost,30,4/12/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",156,160,"24,960.00",PHP,59.531,"24,960.00",               ,cws      ,Cost,30,4/12/2026
0,4G0240518,P11001822,10/15/2025,3/13/2026,CI#0330                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",144,165,"23,760.00",PHP,59.531,"23,760.00",               ,cws      ,Cost,30,4/12/2026
0,4G0234388,P11001823,10/15/2025,2/16/2026,CI#0326                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",120,130,"15,600.00",PHP,58.059,"15,600.00",               ,cws      ,Cost,30,3/18/2026
0,4G0234388,P11001823,10/15/2025,2/16/2026,CI#0326                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",144,130,"18,720.00",PHP,58.059,"18,720.00",               ,cws      ,Cost,30,3/18/2026
0,4G0234388,P11001823,10/15/2025,2/16/2026,CI#0326                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",108,145,"15,660.00",PHP,58.059,"15,660.00",               ,cws      ,Cost,30,3/18/2026
0,4G0234388,P11001823,10/15/2025,2/16/2026,CI#0326                       ,"240000086 TAN, JOSEPH MAGANTE   ","6117190023 T-SHIRT, ROUND NEC",120,145,"17,400.00",PHP,58.059,"17,400.00",               ,cws      ,Cost,30,3/18/2026
